file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,nosi,loc
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,class,0,6,6,0,35,1,0,0,561,0.9428571,0.028571429,0.028571429,0,123
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,class,6,14,8,6,19,6,0,52,26,0.8645833,0.0,0.0,8,165
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home,class,8,17,9,8,17,6,0,28,36,0.8888889,0.0,0.0,10,141
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/ValidationStrategy.java,service.validation.ValidationStrategy,interface,1,13,12,1,1,1,0,0,0,0.0,NaN,NaN,0,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,class,0,4,4,0,12,1,0,0,36,0.75,0.22727273,0.8333333,0,46
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/DecimalValidation.java,service.validation.DecimalValidation,class,2,3,1,2,3,1,0,3,0,0.0,1.0,1.0,3,19
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/HotelManagementSystem.java,ui.HotelManagementSystem,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,0,4
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/dao/CustomerDao.java,dao.CustomerDao,class,3,8,5,3,15,1,0,39,28,0.0,0.0,0.0,7,119
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/AuthService.java,service.AuthService$Status,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,class,0,5,5,0,14,1,0,0,55,0.7857142,0.1978022,0.85714287,0,54
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/controller/CheckInController.java,controller.CheckInController,class,3,4,1,3,5,1,0,9,0,0.0,1.0,1.0,3,19
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/RoomNumberAvailableValidation.java,service.validation.RoomNumberAvailableValidation,class,3,4,1,3,4,1,0,4,0,0.0,1.0,1.0,3,19
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/org/netbeans/lib/awtextra/AbsoluteLayout.java,org.netbeans.lib.awtextra.AbsoluteLayout,class,3,16,13,3,23,1,0,13,35,0.54545456,0.13333334,0.13333334,2,99
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/BillingService.java,service.BillingService,class,3,4,1,3,6,1,0,6,0,0.0,1.0,1.0,3,27
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Signup.java,ui.Signup,class,6,21,15,6,42,6,0,56,153,0.94444454,0.0,0.0,11,304
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/NumericValidation.java,service.validation.NumericValidation,class,2,3,1,2,3,1,0,3,0,0.0,1.0,1.0,3,19
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/controller/LoginStatus.java,controller.LoginStatus,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/org/netbeans/lib/awtextra/AbsoluteConstraints.java,org.netbeans.lib.awtextra.AbsoluteConstraints,class,0,13,13,0,5,1,0,0,0,0.2,0.1,0.1,0,24
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/CheckOutService.java,service.CheckOutService,class,5,6,1,5,13,1,0,19,0,0.5,0.5,0.5,13,65
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/StayCalculation.java,service.StayCalculation,class,0,2,2,0,3,1,0,0,0,0.33333334,0.6666667,1.0,0,14
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/controller/BillingController.java,controller.BillingController,class,6,8,2,6,7,1,0,25,0,0.25,1.0,1.0,2,27
