file,class,method,variable,usage
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getGender/0,gender,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setAmount/1[java.lang.String],amount,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setIdNumber/1[java.lang.String],idNumber,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getCheckInDate/0,checkInDate,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setEmail/1[java.lang.String],email,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setPrice/1[java.lang.String],price,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setStatus/1[java.lang.String],status,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setNationality/1[java.lang.String],nationality,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setRoomNumber/1[java.lang.String],roomNumber,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getDays/0,days,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setCheckInDate/1[java.lang.String],checkInDate,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getBed/0,bed,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setDays/1[java.lang.String],days,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setMobile/1[java.lang.String],mobile,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setBillId/1[java.lang.String],billId,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setGender/1[java.lang.String],gender,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getIdNumber/0,idNumber,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setBed/1[java.lang.String],bed,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setRoomType/1[java.lang.String],roomType,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getRoomNumber/0,roomNumber,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getNationality/0,nationality,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setAddress/1[java.lang.String],address,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getRoomType/0,roomType,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getStatus/0,status,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setCheckOutDate/1[java.lang.String],checkOutDate,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getAddress/0,address,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getName/0,name,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,setName/1[java.lang.String],name,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getMobile/0,mobile,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getAmount/0,amount,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getBillId/0,billId,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getEmail/0,email,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getPrice/0,price,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Customer.java,model.Customer,getCheckOutDate/0,checkOutDate,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,jTable1MouseClicked/1[java.awt.event.MouseEvent],idd,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,jTable1MouseClicked/1[java.awt.event.MouseEvent],jTable1,2
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jButton3,7
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jLabel3,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jLabel2,5
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jButton2,7
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jButton1,4
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jLabel4,5
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,txtdate,4
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jScrollPane1,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jTable1,4
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,initComponents/0,jLabel1,6
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,jButton2ActionPerformed/1[java.awt.event.ActionEvent],txtdate,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,jButton2ActionPerformed/1[java.awt.event.ActionEvent],facade,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,jButton2ActionPerformed/1[java.awt.event.ActionEvent],jTable1,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,CustomerDetailsBill/0,txtdate,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,s/0,facade,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/CustomerDetailsBill.java,ui.CustomerDetailsBill,s/0,jTable1,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home,initComponents/0,jButton3,7
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home,initComponents/0,jButton2,7
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home,initComponents/0,jButton1,7
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home,initComponents/0,jButton6,5
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home,initComponents/0,jButton5,5
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home,initComponents/0,jLabel1,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/ui/Home.java,ui.Home,initComponents/0,jButton4,7
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,getRoomType/0,roomType,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,setRoomType/1[java.lang.String],roomType,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,getBed/0,bed,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,setBed/1[java.lang.String],bed,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,getPrice/0,price,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,getStatus/0,status,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,getRoomNumber/0,roomNumber,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,setPrice/1[java.lang.String],price,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,setStatus/1[java.lang.String],status,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,"Room/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",bed,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,"Room/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",roomNumber,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,"Room/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",price,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,"Room/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",roomType,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,"Room/5[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",status,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/Room.java,model.Room,setRoomNumber/1[java.lang.String],roomNumber,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/DecimalValidation.java,service.validation.DecimalValidation,validate/0,field,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/DecimalValidation.java,service.validation.DecimalValidation,validate/0,message,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/DecimalValidation.java,service.validation.DecimalValidation,validate/0,value,1
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/DecimalValidation.java,service.validation.DecimalValidation,"DecimalValidation/3[java.lang.String,java.lang.String,java.lang.String]",field,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/DecimalValidation.java,service.validation.DecimalValidation,"DecimalValidation/3[java.lang.String,java.lang.String,java.lang.String]",message,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/service/validation/DecimalValidation.java,service.validation.DecimalValidation,"DecimalValidation/3[java.lang.String,java.lang.String,java.lang.String]",value,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setAnswer/1[java.lang.String],answer,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setName/1[java.lang.String],name,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setPassword/1[java.lang.String],password,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,setStatus/1[java.lang.String],status,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",password,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",answer,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",securityQuestion,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",name,3
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/model/User.java,model.User,"User/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",email,3
