file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/CustomerCheckIn.java,CustomerCheckIn$Anonymous19,itemStateChanged/1[java.awt.event.ItemEvent],false,285,1,3,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/GenerateBill.java,GenerateBill$Anonymous5,run/0,false,199,1,12,0,12,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/Signup.java,Signup$Anonymous12,mouseClicked/1[java.awt.event.MouseEvent],false,186,1,9,0,9,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/Signup.java,Signup$Anonymous13,run/0,false,451,1,12,0,12,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/GenerateBill.java,GenerateBill,main/1[java.lang.String[]],false,173,1,1,0,1,7,9,28,0,0,1,9,0,0,1,0,1,0,1,0,0,0,3,1,0,0,20,9,0,true
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/GenerateBill.java,GenerateBill,connect/0,false,58,1,1,1,0,3,10,27,0,3,0,10,0,0,0,0,1,0,16,1,14,0,2,0,0,0,31,1,0,false
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/GenerateBill.java,GenerateBill,formFocusLost/1[java.awt.event.FocusEvent],false,149,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,false
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/GenerateBill.java,GenerateBill,jButton1ActionPerformed/1[java.awt.event.ActionEvent],false,162,1,1,1,0,2,4,8,0,0,1,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,2,0,false
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/GenerateBill.java,GenerateBill,GenerateBill/0,true,37,1,4,2,2,1,4,21,0,0,0,4,2,1,0,0,0,0,30,0,0,16,0,0,0,0,32,1,0,true
/home/lucas/Documentos/ufc/semestre_10/reuso/trabalho3/Hotel-Management-System/src/GenerateBill.java,GenerateBill,jButton2ActionPerformed/1[java.awt.event.ActionEvent],false,157,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,false
